ID,Original_ID,sent,Aのフラグ
1,2200,そうじを友人と一緒に終わらせた。,FALSE
2,13718,運転中のドライバーが寝ないで集中できるように話しかけてあげた,FALSE
3,16249,公共施設の壁に「ポケットティッシュをご自由にお取りください」とあったが持ち帰らなかった,FALSE
4,10651,友達からゲームを借りたままだ,FALSE
5,9094,新幹線の予約席がいっぱいだったため、自由席に座った,FALSE
6,14882,自転車置き場で自転車を倒し、ドミノ状態になったが、直さずに立ち去った,FALSE
7,7102,朝の9時に掃除機をかけ、洗濯機を回した。,FALSE
8,2831,ビーチサンダルを履いて、自動車を運転した。,FALSE
9,16307,お客様の声アンケートの箱にアンケートを記入した紙を入れた,FALSE
10,14926,人の庭に実っていた柿を勝手に取って食べた,FALSE
11,16936,手に入れたスイカを、人の頭に当てて割った,FALSE
12,8483,両手が塞がってドアを開けづらそうにしていたので、挨拶した。,FALSE
13,3126,漬け物が好きなので、ぬか床を作って、冷蔵庫にあった新鮮な野菜を漬ける,FALSE
14,1148,電車で妊婦さんを見かけて、席を譲った,FALSE
15,3069,夫とクラシックコンサートに出掛けたが、ロックコンサートにしか行ったことがなかったので、演奏開始と同時に立ち上がってしまった,FALSE
16,10964,缶詰を開けようとしている妹にハンマーを渡した,FALSE
17,7900,徒歩通学できる、大学近くに下宿する,FALSE
18,7145,コンビニの弁当は必ずマイ箸で食べる。,FALSE
19,11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,TRUE
20,6133,コインランドリーでペット用の毛布を洗濯した。,FALSE
21,11787,授業が始まるので、先生に礼をする,FALSE
22,6545,元旦にお金をたくさん使う,FALSE
23,19244,事業用資金をギャンブルに使った,FALSE
24,16125,受験に失敗してむしゃくしゃしたので、甘いお菓子ばかり食べた。,FALSE
25,11851,泣いている赤ちゃんにミルクを飲ませた,FALSE
26,18466,のどが渇いた男にキンキンに冷えた海水を飲ませた,FALSE
27,18561,飼い猫が子猫をたくさん産んだが育てきれないので、里親を募集した。,FALSE
28,4346,差し出された粗品を、舌打ちしながら受け取った,FALSE
29,352,年の瀬の準備をしている,FALSE
30,11343,クリスマスプレゼントに、来年の手帳を入れてラッピングした。,FALSE
31,10464,貴重な本のページをそっとめくりながら読んだ。,FALSE
32,11613,電車で杖を突いた人がいたので、席を譲る,FALSE
33,13784,冬の寒い洗面所で顔を洗うのにお湯を出した,FALSE
34,2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,FALSE
35,11156,寒くて震えている犬に水をかけた,FALSE
36,11326,ベビーカーが邪魔なので、舌打ちした。,FALSE
37,2931,眼鏡が合わなくなったので、家族の眼鏡を譲ってもらう,FALSE
38,19062,俳優と手のひらに画びょうを貼った手で握手をした,FALSE
39,4450,葬式に胡蝶蘭を贈る,FALSE
40,8391,スーパーで「おひとり様1パック限り」で卵の安売りしていたので家族全員で何度も並んで買った,FALSE
41,11293,会社の機密事項を部署内で共有した。,FALSE
42,10535,長距離をアリに乗って走った。,TRUE
43,7015,ハイブランドのファッションショーに作業着で参加した。,FALSE
44,18439,後輩にお酒のおいしいお店に行こうと勧めた,FALSE
45,14242,早く出世したいので、論文の研究データを書き換えた,FALSE
46,5761,興味本位でツキノワグマの檻に入る,FALSE
47,981,暇だったので警察に電話をかけた,TRUE
48,17475,借りた物を壊したことを伝えると泣いてしまったので、「ごめんね」と言った。,FALSE
49,4771,お葬式に出席して大声で泣く。,FALSE
50,4334,新幹線のチケットを拾ったので、金券ショップで換金した,FALSE
51,1693,野球観戦する,FALSE
52,15867,とてもきれいな景色だったので動画に撮って保存した,FALSE
53,3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,FALSE
54,2128,兄のサラダにマヨネーズをいっぱいかけてあげた。,FALSE
55,14019,目的地がわからなかったので運転を止めて地図を調べた,FALSE
56,8609,猛暑で喉が渇いていると思うので、メロンパンをあげよう。,FALSE
57,11075,愛犬が寒そうだったので犬用の服を着せた,FALSE
58,14611,横断歩道を渡ろうとしている老人を見かけたため、車を停止させた。,FALSE
59,4511,買ったばかりの服にアイロンをかける。,FALSE
60,10031,久しぶりのビュッフェだったので、普段では食べきれない量をとり、見事に食べきった。,FALSE
61,10435,猫と小鳥を同じゲージで飼うことにした。,FALSE
62,16606,赤いTシャツのおじさんを困らせてやろうとエスカレーターを止めた。,FALSE
63,17069,墓を掃除する,FALSE
64,2555,上機嫌で帰ってきた娘に、ヘラヘラするなと注意する,FALSE
65,8929,合格するために試験問題を教えてもらった,FALSE
66,19600,パーティーで嫌がらせのため飲み物の一つにタバスコを入れて出した。,FALSE
67,14122,自分が欲しい機種のスマートフォンを道で拾ったため、警察に届けず自分のものにした,FALSE
68,18841,友達からもらったプレゼントを友達の目の前で開けた,FALSE
69,12312,包丁を使って、肉や野菜を切る。,FALSE
70,16207,以前の勤め先社長が亡くなりお葬式に行ったらかつての同僚たちに会うことが出来て懐かしかった。,FALSE
71,6358,チャイルドシートに子供を載せて、自転車の二人乗り運転をした。,FALSE
72,13295,お客様に出すお茶を注ぐのに新しいコップを使った,FALSE
73,5469,困っている人が居ても自分の得にならなければ助けない。,FALSE
74,10408,ショーウインドーのマネキンの洋服を着せ替えて飾っておいた。,FALSE
75,16622,大勢で買い物に行く,FALSE
76,5835,自宅に生えた雑草を野菜の一種だと言って近所に配る,FALSE
77,13792,シュークリームの中に栗の欠片を入れて人に食べさせた,FALSE
78,13083,夢中で仕事をしていた,FALSE
79,2936,おなかが痛いと言いながら、食事をせず部屋に戻る,FALSE
80,17494,友達に借りたお金を返さなかった。,FALSE
81,17262,友人と2人で旅行に行くのでホテルを予約したが、節約したかったので1人と入力して予約した,FALSE
82,19935,道端に鍵のかかっていない自転車が捨てられていたので、警察に通報した。,FALSE
83,19596,隣の家から騒音が聞こえるので、負けじと同じような音を出した。,FALSE
84,17962,受験勉強がうまく進まないので、憂さ晴らしにいじめのターゲットを探す。,FALSE
85,15228,娘に少しだけ腐った野菜サラダをたくさん食べさせる,FALSE
86,386,ボクシングジムに通いだす,FALSE
87,12580,雪の降る中帰ってきた娘にホットココアを用意してあげた,FALSE
88,13537,山登りに行く息子に登山用シューズを用意した,FALSE
89,11730,父は風呂上りに全裸で家の外を歩いた,FALSE
90,18721,かけうどんをテーブルに運んでくる,FALSE
91,5533,敵国にミサイルで先制攻撃を仕掛ける,FALSE
92,16583,人が苦しんでいると助けたくなる,FALSE
93,16824,隣家の柿がおいしそうだったので、落として食べる。,FALSE
94,13247,運転中に救急車がサイレンを鳴らしてこちらに来たので路肩で停止した,FALSE
95,5588,かれこれ10数年間、プールに入らない生活をしている,FALSE
96,2865,患者の腕に、刺繍針を刺した。,FALSE
97,14859,トイレに入るために喫茶店に入り、コーヒーだけ飲んで出た。,FALSE
98,5643,お金も払わないのに、焼きそばパンをダッシュで買ってこいと言われる,FALSE
99,19238,息子をレギュラーにするために、監督にお金を渡した。,FALSE
100,6069,ボトルメールに憧れてペットボトルに手紙を入れて海へ流す,FALSE
101,2688,職場で剥がれていた付箋を、マスキングテープで固定しておいた。,FALSE
102,1093,宅配便に来た人の外見が好みではなかったので居留守を使うことにした,FALSE
103,14097,プールの中でおしっこがしたくなったのでプールから上がってトイレに行く。,FALSE
104,15598,友達の好きな人に関するインチキの噂話を友達に話した,FALSE
105,14357,地下鉄に乗るときに順番を守って乗った。,FALSE
106,3503,池の外来種を駆除した,FALSE
107,15217,結婚する友達のお祝いに祝いの電報を送った,FALSE
108,14936,サッカーで勝ち進んだので、喜んで、川に飛び込む。,FALSE
109,17329,人の限界に挑戦するため、友人と富士登山をした,FALSE
110,7122,犬に大声で吠えた。,FALSE
111,1740,レプリカを売る,FALSE
112,4978,コピー機の調子が悪いのは分かっていたが仕事が忙しかったので隣の同僚にお願いした。,FALSE
113,3589,値引きシールの貼られた商品を購入した,FALSE
114,10874,ランニング中の彼の足もとに油をこぼした,FALSE
115,13323,美容院で髪を短く切ってくださいと言われたのでおしゃれな髪型にした,FALSE
116,14219,脱水症の人に、コップに入れた水を差し出した。,FALSE
117,6917,自宅敷地内のガレージ裏に自転車を放置した。,FALSE
118,15655,集合時間の15分前に到着した,FALSE
119,9271,目の前に噴水があることに気づき、噴水の中にゴミを捨てた。,FALSE
120,10908,世界一周のためにお金を借りる,FALSE
121,12850,外に布団を干している,FALSE
122,13419,ゴミを漁っているカラスがいたのでホウキで追っ払った,FALSE
123,719,募金を募るために乗客が通る自動改札の前に立った,FALSE
124,1513,電車のドアが閉まりそうだったので、駆け込み乗車した,FALSE
125,12623,果肉が少なくパサパサなレモンを使用した,FALSE
126,9392,天気が良かったので、布団を干した。,FALSE
127,9809,怪しい人を見つけたので、110番した。,FALSE
128,3288,母親の手伝いをする,FALSE
129,1605,人助けを邪魔する,FALSE
130,3101,おつりを多く貰ったので、「〇円多いですよ。もらいますよ」とからかって店員に返す,FALSE
131,5837,まだ未成年にもかかわらず成人である友人の身分証を使ってタバコを買う,FALSE
132,4982,無保険だったので福利厚生が手厚い会社に就職した。,FALSE
133,3257,学校の朝礼時に歯を噛む,FALSE
134,17986,スーパーで試食のお菓子をすべて食べる,FALSE
135,15393,喫煙場所でタバコを吸った,FALSE
136,15792,賽銭箱に石を投げ入れる。,FALSE
137,8629,車内から出ないため、ガソリンスタンドでもタバコを吸った。,FALSE
138,7811,おいしそうな柿が木になっていたので勝手にとって持って帰った。,FALSE
139,13601,日本酒を熱燗にしたものが出来上がったのでおちょこに注いであげた,FALSE
