ID,Original_ID,sent,Aのフラグ,Bのフラグ,Cのフラグ,TRUE判定数,TRUE判定割合,評価者数,過半数TRUEフラグ,最低1人TRUEフラグ
3118,1,信号が赤信号だったため車のアクセルを踏んだ,0,0,0,0,0.0,3,0,0
13550,2,信号が赤信号だったため車のブレーキを踏んだ,0,0,0,0,0.0,3,0,0
16332,3,とても寒い日なので子供部屋のエアコンを冷房にした,0,0,0,0,0.0,3,0,0
1172,4,とても寒い日なので子供部屋のエアコンを暖房にした,0,0,0,0,0.0,3,0,0
13061,5,駅員のいない駅だったため切符を購入せずに改札を通った,0,0,0,0,0.0,3,0,0
5752,6,駅員のいない駅だったため切符を購入して改札を通った,0,0,0,0,0.0,3,0,0
2086,7,商品の中身をすり替えて返品した,0,0,0,0,0.0,3,0,0
9162,8,商品の中身はそのままに返品した,0,0,0,0,0.0,3,0,0
5346,9,スーパーで美味しそうなパンが売っていたので、その場で手掴みして食べた,0,0,0,0,0.0,3,0,0
19368,10,スーパーで美味しそうなパンが売っていたので、トングで掴んで購入した,0,0,0,0,0.0,3,0,0
10256,11,道端でおばあさんが苦しそうにしていたので見て見ぬふりをした,0,0,0,0,0.0,3,0,0
18223,12,道端でおばあさんが苦しそうにしていたので救急車を呼んだ,0,0,0,0,0.0,3,0,0
11726,13,ラーメン屋に行くと行列が出来ていたので一番前に割り込んだ,0,0,0,0,0.0,3,0,0
18378,14,ラーメン屋に行くと行列が出来ていたので一番後ろに並んで待った,0,0,0,0,0.0,3,0,0
5733,15,大学の授業で出されたレポートの課題を他人のレポートを丸写して作成した,0,0,0,0,0.0,3,0,0
7269,16,大学の授業で出されたレポートの課題を参考文献を読みながら作成した,0,0,0,0,0.0,3,0,0
17943,17,使用済みの商品を未使用と記載してフリマアプリで販売した,0,0,0,0,0.0,3,0,0
1707,18,使用済みの商品を使用済みと記載してフリマアプリで販売した,0,0,0,0,0.0,3,0,0
13196,19,彼女は蕎麦アレルギーなのでそば粉を使った料理を振舞った,0,0,0,0,0.0,3,0,0
2946,20,彼女は蕎麦アレルギーなのでそば粉を使わない料理を振舞った,0,0,0,0,0.0,3,0,0
6828,21,友人の家に用事があったため勝手に家に上がった,0,0,0,0,0.0,3,0,0
11238,22,友人の家に用事があったためインターホンを鳴らしてから家に上がった,0,0,0,0,0.0,3,0,0
10864,23,規定量以上の薬を服用して早めに寝た,0,0,0,0,0.0,3,0,0
8617,24,規定量の薬を服用して早めに寝た,0,0,0,0,0.0,3,0,0
17124,25,道路が凍っていたので水をまいた,0,0,0,0,0.0,3,0,0
16914,26,道路が凍っていたので融雪剤をまいた,0,0,0,0,0.0,3,0,0
13524,27,財布が落ちていたので中身を抜き取ってから交番に届けた,0,0,0,0,0.0,3,0,0
6059,28,財布が落ちていたので中身はそのままに交番に届けた,0,0,0,0,0.0,3,0,0
11821,29,友人からお金を借りたので、借りたことを忘れた振りをして返さなかった,0,0,0,0,0.0,3,0,0
7185,30,友人からお金を借りたので、後日お金を返した,0,0,0,0,0.0,3,0,0
4565,31,絵を描きたくなったので車にイラストを描いた,0,0,0,0,0.0,3,0,0
1598,32,絵を描きたくなったので紙にイラストを描いた,0,0,0,0,0.0,3,0,0
10380,33,友達が持っている物が欲しくなったので、友達の物をこっそり自分の鞄に入れた,0,0,0,0,0.0,3,0,0
6378,34,友達が持っている物が欲しくなったので、同じものを買った,0,0,0,0,0.0,3,0,0
3798,35,運転中、横断歩道を渡ろうとしている人が居たがそのまま通り過ぎた,0,0,0,0,0.0,3,0,0
1510,36,運転中、横断歩道を渡ろうとしている人が居たので停止した,0,0,0,0,0.0,3,0,0
8819,37,友達と雪合戦をしていて、石を入れた雪玉を投げた,0,0,0,0,0.0,3,0,0
10023,38,友達と雪合戦をしていて、雪玉を投げた,0,0,0,0,0.0,3,0,0
4617,39,家族が最近眠れないと言っていたので、こっそり睡眠薬を飲み物に混ぜて飲ませた,0,0,0,0,0.0,3,0,0
8784,40,家族が最近眠れないと言っていたので、よく眠れるハーブティーを飲ませた,0,0,0,0,0.0,3,0,0
17455,41,レジ袋を1枚購入したが、買ったものが入りきらなかったので料金を払わずにもう１枚取って詰めた,0,0,0,0,0.0,3,0,0
1479,42,レジ袋を1枚購入したが、買ったものが入りきらなかったのでもう１枚購入して詰めた,0,0,0,0,0.0,3,0,0
1190,43,線路にスマホを落としたため、線路内に入って拾った,0,0,0,0,0.0,3,0,0
8386,44,線路にスマホを落としたため、駅員に知らせて取ってもらった,0,0,0,0,0.0,3,0,0
14972,45,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったが拾って皿にのせた,0,0,0,0,0.0,3,0,0
9987,46,友人の皿に料理を取り分けようとした時、うっかり床に食べ物を落としてしまったため新しい食べ物を取って皿にのせた,0,0,0,0,0.0,3,0,0
1204,47,マラソン大会だったのでコース内に入って選手を応援した,0,0,0,0,0.0,3,0,0
3024,48,マラソン大会だったので沿道で選手を応援した,0,0,0,0,0.0,3,0,0
12334,49,隣人に傷んで変色したリンゴをおすそ分けした,0,0,0,0,0.0,3,0,0
2864,50,隣人に新鮮なリンゴをおすそ分けした,0,0,0,0,0.0,3,0,0
